Published,Name,Home page,Source URL,Documentation,Description,Usage Audience,Installation Audience,Deployment,Desktop Version,Development Status,Notes,Tags,Practice,Sub Practice,Practice 2,Sub Practice 2,Practice 3,Sub Practice 3,Data Import Formats,Data Export Formats,Type,Type,Subtype,Feature Data Modeling,Feature Bulk Upload,Feature Displays Lists,Feature Network Viz,Feature Network Editing,Feature Network Analysis,Feature Embeddable,Feature Document Viz,Feature Timelines,Feature Maps,Feature Coding,Open Source,Open Source License,Has Schema?,Schema Domain,Schema URL,Team,Project Specific,Project,Programming Language,Dependency 1,Dependency 2,Dependency 3,Dependency Others
,NodeMapper,https://github.com/poderomedia/nodemapper,https://github.com/poderomedia/nodemapper,https://poderomedia.github.io/nodemapper/,NodeMapper is a opinionated D3.js data visualization library that allows you to create and manage network visualizations in a simple way so you can use your time on customizing it as you see fit. A project by Poderomedia Foundation.,Developer,Data User,Browser,,,,,Publish,Present Data,,,,,google spreadsheet,,library (network diagram),Library,,,,,Yes,,,Yes,,,,,Yes,MIT,No,,,,,,,,,,
,D3plus,http://d3plus.org/,https://github.com/alexandersimoes/d3plus,,,Developer,Developer,Browser,,,,"Layer on top of d3, maybe not influence mapping, maybe search for d3plus and whatever guide comes up add to the guides",Publish,Present Data,,,,,,,library (network diagram),Library,,,,,,,,,,,,,Yes,MIT,No,,,,,,,,,,
,Timelines,http://timelines.hhba.info/,https://github.com/hhba/timelines,,GitHub-style collaboration graphs,Developer,Developer,Browser,,,,"library, stakeholder, time paths?, lord of the rings mapping",Publish,Present Data,,,,,,,library (timeline),,,,,,,,,,,Yes,,,Yes,Apache,No,,,http://hhba.info/,,,Javascript,,,,
,Relationship Science,https://www.relsci.com/,,,,User,User,,,,,,Organise,Analyse Data,,,,,,,product (analyze),Web Application,,,,,Yes,,Yes,,,,,,No,,N/A (paid account),,,,,,,,,,
,Capital IQ,http://www.spcapitaliq.com/,,,,User,User,,,,,,Organise,Analyse Data,,,,,,,product (analyze),,,,,,,,,,,,,,No,,N/A (paid account),,,,,,,,,,
,VIS (Visual Investigative Scenarios),http://vis.occrp.org/,,,"(VIS) is a data visualization platform designed to assist investigative journalists, activists and others in mapping complex business or crime networks.",User,User,,,,,,Publish,Present Data,,,,,,,product (build),,,,,,Yes,Yes,,,,,,,No,,Yes (simple),,,https://occrp.org/,,,PHP,,,,
,Kumu.io,http://kumu.io/,,,Great datavis / node editing tool ,User,User,,,,,,Collect,Collect Data,Publish,Present Data,,,,,product (build),,,,,,Yes,Yes,Yes,Yes,,,,,No,,No (user-defined),,,Jeff Mohr,,,,,,,
,Lynksoft,http://lynksoft.com/,,,,,,,,,,,,,,,,,,,product (build),,,,,,,,,,,,,,No,,No (labels only),,,,,,,,,,
,DIVE,http://dive.media.mit.edu/,,,Data Integration and Visualization Engine,,,,,,,,,,,,,,,,product (visualize),,,,,,,,,,,,,,No,,N/A (pre-launch),,,,,,,,,,
,Mapa76 / analice.me,http://mapa76.info/,https://github.com/hhba/mapa76,,Document entity extraction for large datasets,Developer,Developer,,,,,,,,,,,,,,tool,,,,,,,,,,,,,,Yes,MIT,N/A (inaccessible),,,http://hhba.info/,,,Ruby,MongoDB,Redis,,
