,,,,,,,,,,,,,,,,,,Easy to Install,Easy to Use,What you need to know,,,,Free to use and reuse,,,,,,,,
DIVE,,,,,,,,,,,,,,,,Data Integration and Visualization Engine,http://dive.media.mit.edu/,,,,,product (visualize),,No,,No,N/A (pre-launch),,,,,
Mapa76 / analice.me,,,,,,,,,,,,,,,,Document entity extraction for large datasets,http://mapa76.info/,,,,,tool,,Yes (MIT),https://github.com/hhba/mapa76,N/A,N/A (inaccessible),,http://hhba.info/,"Ruby, MongoDB, Redis",,
Grano,,,,,,,,,,,,,,,,Facebook for terrorists,http://granoproject.org,,,,,tool,http://granoproject.org/docs,Yes (MIT),http://github.com/pudo/grano,N/A,No (user-defined),,http://pudo.org,"Python, MongoDB, ElasticSearch",,
Transparency Toolkit,,,,,,,,,,,,,,,,Data acquisition from multiple sources,https://transparencytoolkit.org/,,,,,tool,,Yes (GPL),https://github.com/TransparencyToolkit/Transparency-Toolkit,N/A,Yes (not relevant),https://github.com/TransparencyToolkit/Transparency-Toolkit/blob/master/db/schema.rb,,,,
loom,,,,,,,,,,,,,,,,Interactive generation of corporate networks,http://loom.grano.cc,,,,,tool,,Yes (MIT),https://github.com/pudo/loom,N/A,Yes (simple),https://github.com/granoproject/loom/tree/master/loom/model,,"Python, Postgres",,
ANTA,,,,,,,,,,,,,,,,Text to entities processing tool,https://github.com/medialab/ANTA,,,,,tool,,Yes (LGPL),https://github.com/medialab/ANTA,N/A,Yes (not relevant),https://github.com/medialab/ANTA/tree/master/application/models,,,,
Hyphe,"natural language processing, crawling",,,,,,,,,,,,,,,Web crawler that generates network data,http://hyphe.medialab.sciences-po.fr/demo/,,,,,tool,,Yes (LGPL),https://github.com/medialab/hyphe,N/A,Yes (not relevant),,,,,
Network Mapper,,,,,,,,,,,,,,,,Mapping out and visualizing the connections between people and groups can dramatically improve our understanding of the affiliations and key nodes of influence between them. ,http://www.google.com/ideas/projects/network-mapper/,,,,,tool,,No,https://docs.google.com/forms/d/13xhh7Zr12944zkcEVKTaNrMDPBO7SGJXrxsmz8p9kzo/viewform,No,N/A (invite only),,,PHP,,
Warren,,,,,,,,,,,,,,,,,,,,,,tool,,No,,N/A,N/A (inaccessible),,Jacqui Maher / NYTimes,"Ruby, Neo4J",,
Palantir Gotham,,,,,,,,,,,,,,,,Entities & events mega-integration thingie,http://www.palantir.com/palantir-gotham/,,,,,tool,,No,,N/A,N/A (proprietary),,,,,
Palladio,,,,,,,,,,,,,,,,"Palladio is a web-based platform for the visualization of complex, multi-dimensional data.",http://palladio.designhumanities.org/#/,,,,,tool,http://hdlab.stanford.edu/projects/palladio/,No,,N/A,N/A (proprietary),,,,,
Untangled,,,,,,,,,,,,,,,,tbd,http://knightlab.northwestern.edu/tag/untangled/ http://untangled.knightlab.com/,,,,,tool,,N/A,,N/A,N/A,,http://knightlab.northwestern.edu/,,,
